lon,lat,vs30,z1pt0,z2pt5,vs30measured
-76.96,-12.07,364.19399,328.1972339,0.5145,0
-76.95,-12.07,345.74359,352.0595076,0.5145,0
-76.94,-12.07,760,33.72291916,0.5145,0
-76.93,-12.07,760,33.72291916,0.5145,0
-76.92,-12.07,760,33.72291916,0.5145,0
-76.91,-12.07,760,33.72291916,0.5145,0
-76.9,-12.07,760,33.72291916,0.5145,0
-76.89,-12.07,760,33.72291916,0.5145,0
-76.88,-12.07,760,33.72291916,0.5145,0
-76.87,-12.07,760,33.72291916,0.5145,0
-76.86,-12.07,680.67599,55.25822379,0.5145,0
-76.85,-12.07,584.38156,109.4383961,0.5145,0
-76.84,-12.07,638.87109,73.40383621,0.5145,0
-76.83,-12.07,650.82798,67.55249733,0.5145,0
-76.82,-12.07,557.95481,134.6500189,0.5145,0
-76.81,-12.07,584.86943,109.0300179,0.5145,0
-76.8,-12.07,603.21926,94.93823662,0.5145,0
-76.79,-12.07,740.16665,37.96416362,0.5145,0
-76.99,-12.08,361.00773,332.1137724,0.5145,0
-76.98,-12.08,321.90762,387.7010393,0.5145,0
-76.97,-12.08,337.24798,364.084785,0.5145,0
-76.96,-12.08,327.46274,378.8485322,0.5145,0
-76.95,-12.08,330.63244,373.9536603,0.5145,0
-76.94,-12.08,465.52288,235.6208783,0.5145,0
-76.93,-12.08,544.57243,150.1207551,0.5145,0
-76.92,-12.08,371.68865,319.2949928,0.5145,0
-76.91,-12.08,423.39547,267.8099958,0.5145,0
-76.9,-12.08,501.9231,216.3293632,0.5145,0
-76.89,-12.08,602.51669,95.43519591,0.5145,0
-76.88,-12.08,541.78504,153.6119686,0.5145,0
-76.87,-12.08,687.54547,52.82745282,0.5145,0
-76.86,-12.08,706.19619,46.85806996,0.5145,0
-76.85,-12.08,522.97122,179.9656244,0.5145,0
-76.84,-12.08,760,33.72291916,0.5145,0
-76.83,-12.08,678.14139,56.18952041,0.5145,0
-76.82,-12.08,617.12128,85.72551737,0.5145,0
-76.81,-12.08,569.02992,123.300488,0.5145,0
-76.8,-12.08,760,33.72291916,0.5145,0
-76.79,-12.08,760,33.72291916,0.5145,0
-76.96,-12.12,760,33.72291916,0.5145,0
-76.95,-12.12,760,33.72291916,0.5145,0
-76.94,-12.12,652.75085,66.66555463,0.5145,0
-76.93,-12.12,528.38591,171.8496107,0.5145,0
-76.92,-12.12,760,33.72291916,0.5145,0
-76.91,-12.12,760,33.72291916,0.5145,0
-76.9,-12.12,760,33.72291916,0.5145,0
-76.89,-12.12,721.92568,42.45449672,0.5145,0
-76.96,-12.13,608.36619,91.39249649,0.5145,0
-76.95,-12.13,561.19892,131.197836,0.5145,0
-76.94,-12.13,760,33.72291916,0.5145,0
-76.93,-12.13,760,33.72291916,0.5145,0
-76.92,-12.13,760,33.72291916,0.5145,0
-76.91,-12.13,760,33.72291916,0.5145,0
-76.9,-12.13,760,33.72291916,0.5145,0
-76.89,-12.13,491.44685,218.9983345,0.5145,0
-76.96,-12.14,360.44742,332.8109207,0.5145,0
-76.95,-12.14,632.33607,76.86404101,0.5145,0
-76.94,-12.14,760,33.72291916,0.5145,0
-76.93,-12.14,760,33.72291916,0.5145,0
-76.92,-12.14,760,33.72291916,0.5145,0
-76.91,-12.14,760,33.72291916,0.5145,0
-76.9,-12.14,760,33.72291916,0.5145,0
-76.89,-12.14,760,33.72291916,0.5145,0
-76.96,-12.15,624.36801,81.35719595,0.5145,0
-76.95,-12.15,535.05021,162.4660122,0.5145,0
-76.94,-12.15,572.16525,120.3022734,0.5145,0
-76.93,-12.15,760,33.72291916,0.5145,0
-76.92,-12.15,760,33.72291916,0.5145,0
-76.91,-12.15,760,33.72291916,0.5145,0
-76.9,-12.15,760,33.72291916,0.5145,0
-76.89,-12.15,760,33.72291916,0.5145,0
-76.96,-12.16,406.90443,282.5656709,0.5145,0
-76.95,-12.16,527.52358,173.1117096,0.5145,0
-76.94,-12.16,760,33.72291916,0.5145,0
-76.93,-12.16,760,33.72291916,0.5145,0
-76.92,-12.16,760,33.72291916,0.5145,0
-76.91,-12.16,700.76187,48.50811306,0.5145,0
-76.9,-12.16,437.81582,255.9709643,0.5145,0
-76.89,-12.16,659.99016,63.45154941,0.5145,0
-76.96,-12.17,385.75167,303.6816932,0.5145,0
-76.95,-12.17,410.33055,279.385242,0.5145,0
-76.94,-12.17,366.52257,325.3854928,0.5145,0
-76.93,-12.17,734.70421,39.24514404,0.5145,0
-76.92,-12.17,760,33.72291916,0.5145,0
-76.91,-12.17,760,33.72291916,0.5145,0
-76.9,-12.17,718.4064,43.39419056,0.5145,0
-76.89,-12.17,760,33.72291916,0.5145,0
-76.96,-12.18,492.56209,218.3292057,0.5145,0
-76.95,-12.18,378.7067,311.3329793,0.5145,0
-76.94,-12.18,542.03734,153.2919027,0.5145,0
-76.93,-12.18,738.95285,38.24433479,0.5145,0
-76.92,-12.18,589.44666,105.2879439,0.5145,0
-76.91,-12.18,538.9839,157.2209819,0.5145,0
-76.9,-12.18,605.67256,93.22754974,0.5145,0
-76.89,-12.18,760,33.72291916,0.5145,0
-76.96,-12.19,454.73254,243.1999706,0.5145,0
-76.95,-12.19,540.65913,155.0502926,0.5145,0
-76.94,-12.19,598.2603,98.51492445,0.5145,0
-76.93,-12.19,478.60146,226.970407,0.5145,0
-76.92,-12.19,496.194,216.174581,0.5145,0
-76.91,-12.19,364.95669,327.2716364,0.5145,0
-76.9,-12.19,624.65301,81.1910326,0.5145,0
-76.89,-12.19,677.51755,56.42167741,0.5145,0
-76.96,-12.2,434.82425,258.3512642,0.5145,0
-76.95,-12.2,470.77964,232.0760396,0.5145,0
-76.94,-12.2,492.26622,218.5063765,0.5145,0
-76.93,-12.2,402.09494,287.1379144,0.5145,0
-76.92,-12.2,687.7486,52.75758795,0.5145,0
-76.91,-12.2,460.13234,239.3549639,0.5145,0
-76.9,-12.2,760,33.72291916,0.5145,0
-76.89,-12.2,600.42567,96.93321309,0.5145,0
-76.96,-12.21,405.28288,284.0929871,0.5145,0
-76.95,-12.21,476.1352,228.5589707,0.5145,0
-76.94,-12.21,481.99799,224.813872,0.5145,0
-76.93,-12.21,547.1985,146.919997,0.5145,0
-76.92,-12.21,717.79428,43.56022209,0.5145,0
-76.91,-12.21,422.77681,268.339187,0.5145,0
-76.9,-12.21,520.78322,183.3778063,0.5145,0
-76.89,-12.21,760,33.72291916,0.5145,0
-76.96,-12.22,540.00046,155.8993676,0.5145,0
-76.95,-12.22,298.44933,429.3968371,0.5145,0
-76.94,-12.22,458.49422,240.5101695,0.5145,0
-76.93,-12.22,489.45037,220.205149,0.5145,0
-76.92,-12.22,559.99786,132.4631654,0.5145,0
-76.91,-12.22,470.91603,231.9853032,0.5145,0
-76.9,-12.22,493.93293,217.5115824,0.5145,0
-76.89,-12.22,751.78461,35.40556134,0.5145,0
-76.96,-12.23,620.66107,83.55681338,0.5145,0
-76.95,-12.23,383.05425,306.5722048,0.5145,0
-76.94,-12.23,382.48817,307.184892,0.5145,0
-76.93,-12.23,455.82163,242.4158472,0.5145,0
-76.92,-12.23,461.36624,238.4911763,0.5145,0
-76.91,-12.23,498.26521,214.9623493,0.5145,0
-76.9,-12.23,404.82117,284.5304961,0.5145,0
-76.89,-12.23,427.46393,264.3746879,0.5145,0
-77.06,-12.09,330.09087,374.7821693,0.5145,0
-77.05,-12.09,333.80525,369.163192,0.5145,0
-77.04,-12.09,337.06303,364.35451,0.5145,0
-77.03,-12.09,338.03804,362.9364911,0.5145,0
-77.02,-12.09,340.54682,359.3316262,0.5145,0
-77.01,-12.09,351.14783,344.7646084,0.5145,0
-77.06,-12.1,360.16424,333.1642284,0.5145,0
-77.05,-12.1,347.85351,349.1797389,0.5145,0
-77.04,-12.1,338.04212,362.9305775,0.5145,0
-77.03,-12.1,341.20164,358.4009597,0.5145,0
-77.02,-12.1,363.44199,329.1143168,0.5145,0
-77.01,-12.1,343.57329,355.0650952,0.5145,0
-77.16,-12.07,231.17826,606.1857529,0.5145,0
-76.78,-12.06,760,33.72291916,0.5145,0
-76.77,-12.06,760,33.72291916,0.5145,0
-76.76,-12.06,760,33.72291916,0.5145,0
-76.75,-12.06,690.93401,51.6766341,0.5145,0
-76.74,-12.06,760,33.72291916,0.5145,0
-76.73,-12.06,760,33.72291916,0.5145,0
-76.72,-12.06,760,33.72291916,0.5145,0
-76.71,-12.06,760,33.72291916,0.5145,0
-76.7,-12.06,634.36112,75.77087081,0.5145,0
-76.69,-12.06,760,33.72291916,0.5145,0
-76.68,-12.06,760,33.72291916,0.5145,0
-76.78,-12.07,569.94891,122.4123118,0.5145,0
-76.77,-12.07,760,33.72291916,0.5145,0
-76.76,-12.07,760,33.72291916,0.5145,0
-76.75,-12.07,760,33.72291916,0.5145,0
-76.74,-12.07,760,33.72291916,0.5145,0
-76.73,-12.07,760,33.72291916,0.5145,0
-76.72,-12.07,578.05638,114.9062268,0.5145,0
-76.71,-12.07,760,33.72291916,0.5145,0
-76.7,-12.07,646.00007,69.84384878,0.5145,0
-76.69,-12.07,730.14285,40.35551988,0.5145,0
-76.68,-12.07,760,33.72291916,0.5145,0
-76.78,-12.08,760,33.72291916,0.5145,0
-76.77,-12.08,557.01372,135.6721965,0.5145,0
-76.76,-12.08,760,33.72291916,0.5145,0
-76.75,-12.08,760,33.72291916,0.5145,0
-76.74,-12.08,760,33.72291916,0.5145,0
-76.73,-12.08,760,33.72291916,0.5145,0
-76.72,-12.08,760,33.72291916,0.5145,0
-76.71,-12.08,599.80926,97.38029148,0.5145,0
-76.7,-12.08,760,33.72291916,0.5145,0
-76.69,-12.08,760,33.72291916,0.5145,0
-76.68,-12.08,760,33.72291916,0.5145,0
-76.91,-12.09,516.35007,190.537235,0.5145,0
-76.9,-12.09,420.90198,269.9540544,0.5145,0
-76.89,-12.09,495.26486,216.7222581,0.5145,0
-76.88,-12.09,521.77532,181.8209098,0.5145,0
-76.87,-12.09,381.28323,308.4961595,0.5145,0
-76.86,-12.09,527.60206,172.996379,0.5145,0
-76.85,-12.09,690.39644,51.85714236,0.5145,0
-76.84,-12.09,603.04118,95.06390051,0.5145,0
-76.83,-12.09,712.26026,45.09710014,0.5145,0
-76.82,-12.09,647.78812,68.98430743,0.5145,0
-76.81,-12.09,760,33.72291916,0.5145,0
-76.8,-12.09,760,33.72291916,0.5145,0
-76.79,-12.09,760,33.72291916,0.5145,0
-76.78,-12.09,752.21353,35.31520602,0.5145,0
-76.77,-12.09,760,33.72291916,0.5145,0
-76.76,-12.09,760,33.72291916,0.5145,0
-76.75,-12.09,580.07487,113.1257586,0.5145,0
-76.74,-12.09,661.93236,62.62173102,0.5145,0
-76.73,-12.09,760,33.72291916,0.5145,0
-76.72,-12.09,760,33.72291916,0.5145,0
-76.71,-12.09,760,33.72291916,0.5145,0
-76.91,-12.1,760,33.72291916,0.5145,0
-76.9,-12.1,760,33.72291916,0.5145,0
-76.89,-12.1,620.02736,83.94008962,0.5145,0
-76.88,-12.1,565.51076,126.7753871,0.5145,0
-76.87,-12.1,547.35865,146.7275138,0.5145,0
-76.86,-12.1,511.31566,199.0870052,0.5145,0
-76.85,-12.1,621.3654,83.13333388,0.5145,0
-76.84,-12.1,760,33.72291916,0.5145,0
-76.83,-12.1,760,33.72291916,0.5145,0
-76.82,-12.1,754.79896,34.77649923,0.5145,0
-76.81,-12.1,760,33.72291916,0.5145,0
-76.8,-12.1,760,33.72291916,0.5145,0
-76.79,-12.1,760,33.72291916,0.5145,0
-76.78,-12.1,760,33.72291916,0.5145,0
-76.77,-12.1,760,33.72291916,0.5145,0
-76.76,-12.1,760,33.72291916,0.5145,0
-76.75,-12.1,760,33.72291916,0.5145,0
-76.74,-12.1,718.27627,43.42942216,0.5145,0
-76.73,-12.1,760,33.72291916,0.5145,0
-76.72,-12.1,760,33.72291916,0.5145,0
-76.91,-12.11,760,33.72291916,0.5145,0
-76.9,-12.11,760,33.72291916,0.5145,0
-76.89,-12.11,760,33.72291916,0.5145,0
-76.88,-12.11,760,33.72291916,0.5145,0
-76.87,-12.11,492.85797,218.1522788,0.5145,0
-76.86,-12.11,760,33.72291916,0.5145,0
