lon,lat
-77.14,-11.84
-77.13,-11.84
-77.16,-11.85
-77.15,-11.85
-77.14,-11.85
-77.16,-11.86
-77.15,-11.86
-77.14,-11.86
-77.15,-11.87
-77.14,-11.87
-77.13,-11.87
-77.15,-11.88
-77.14,-11.88
-77.13,-11.88
-77.15,-11.89
-77.14,-11.89
-77.13,-11.89
-77.14,-11.9
-77.13,-11.9
-77.14,-11.91
-77.13,-11.91
-77.14,-11.92
-77.13,-11.92
-77.14,-11.93
-77.13,-11.93
-77.13,-11.94
-77.13,-11.95
-77.12,-11.95
-77.11,-11.95
-77.1,-11.95
-76.97,-11.88
-76.96,-11.88
-76.95,-11.88
-76.94,-11.88
-76.93,-11.88
-76.92,-11.88
-76.91,-11.88
-76.9,-11.88
-76.73,-11.88
-76.97,-11.89
-76.96,-11.89
-76.95,-11.89
-76.94,-11.89
-76.93,-11.89
-76.92,-11.89
-76.73,-11.89
-76.72,-11.89
-76.97,-11.9
-76.96,-11.9
-76.95,-11.9
-76.94,-11.9
-76.93,-11.9
-76.92,-11.9
-76.75,-11.9
-76.74,-11.9
-76.73,-11.9
-76.72,-11.9
-76.71,-11.9
-76.7,-11.9
-76.97,-11.91
-76.96,-11.91
-76.95,-11.91
-76.94,-11.91
-76.93,-11.91
-76.92,-11.91
-76.76,-11.91
-76.75,-11.91
-76.74,-11.91
-76.73,-11.91
-76.72,-11.91
-76.71,-11.91
-76.7,-11.91
-76.69,-11.91
-76.97,-11.92
-76.96,-11.92
-76.95,-11.92
-76.94,-11.92
-76.93,-11.92
-76.92,-11.92
-76.78,-11.92
-76.77,-11.92
-76.76,-11.92
-76.75,-11.92
-76.74,-11.92
-76.73,-11.92
-76.72,-11.92
-76.71,-11.92
-76.7,-11.92
-76.69,-11.92
-76.68,-11.92
-76.97,-11.93
-76.96,-11.93
-76.95,-11.93
-76.94,-11.93
-76.93,-11.93
-76.82,-11.93
-76.81,-11.93
-76.8,-11.93
-76.79,-11.93
-76.78,-11.93
-76.77,-11.93
-76.76,-11.93
-76.75,-11.93
-76.74,-11.93
-76.73,-11.93
-76.72,-11.93
-76.71,-11.93
-76.7,-11.93
-76.69,-11.93
-76.68,-11.93
-76.97,-11.94
-76.96,-11.94
-76.95,-11.94
-76.94,-11.94
-76.85,-11.94
-76.82,-11.94
-76.81,-11.94
-76.8,-11.94
-76.79,-11.94
-76.78,-11.94
-76.77,-11.94
-76.76,-11.94
-76.75,-11.94
-76.74,-11.94
-76.73,-11.94
-76.72,-11.94
-76.71,-11.94
-76.7,-11.94
-76.69,-11.94
-76.68,-11.94
-76.67,-11.94
-76.97,-11.95
-76.96,-11.95
-76.95,-11.95
-76.94,-11.95
-76.93,-11.95
-76.87,-11.95
-76.86,-11.95
-76.85,-11.95
-76.84,-11.95
-76.83,-11.95
-76.82,-11.95
-76.81,-11.95
-76.8,-11.95
-76.79,-11.95
-76.78,-11.95
-76.77,-11.95
-76.76,-11.95
-76.75,-11.95
-76.74,-11.95
-76.73,-11.95
-76.72,-11.95
-76.71,-11.95
-76.7,-11.95
-76.69,-11.95
-76.68,-11.95
-76.67,-11.95
-76.66,-11.95
-76.97,-11.96
-76.96,-11.96
-76.95,-11.96
-76.94,-11.96
-76.93,-11.96
-76.92,-11.96
-76.91,-11.96
-76.9,-11.96
