site_id,lon,lat,PGA_POE_1.0_yr,PGA_POE_10.0_yr,PGA_POE_50.0_yr,PGA_POE_100.0_yr,PGA_POE_500.0_yr
1941.0,-77.08,-12.01,1.0000000000000004e-06,0.10481163488307117,0.32078640129497127,0.5155141243794994,1.4792421318270101
1942.0,-77.07,-12.01,1.0000000000000004e-06,0.10704190523723364,0.335570516162658,0.5517067970192472,1.4224978606246645
1943.0,-77.12,-12.02,1.0000000000000004e-06,0.12295892792945831,0.3974723408303009,0.6187708310702968,1.7010889844004118
1944.0,-77.11,-12.02,1.0000000000000004e-06,0.12001741419308691,0.39764714325420397,0.6285068709964464,1.5644995142448432
1945.0,-77.1,-12.02,1.0000000000000004e-06,0.11722766591285656,0.38274479093412983,0.6180859309341953,1.5545441218963367
1946.0,-77.09,-12.02,1.0000000000000004e-06,0.11390728836885988,0.3734255735102095,0.5847748660730575,1.5139622453956478
1947.0,-77.08,-12.02,1.0000000000000004e-06,0.11077578056698274,0.3584595870273591,0.5772410693026656,1.4440034733092446
1948.0,-77.07,-12.02,1.0000000000000004e-06,0.10849304179367705,0.35596793076108596,0.5677360718217899,1.5454857099135502
1949.0,-77.06,-12.02,1.0000000000000004e-06,0.11602128457450753,0.3733014628768579,0.5879963841335056,1.561409442810322
1950.0,-77.05,-12.02,1.0000000000000004e-06,0.111195162872127,0.3705829226854942,0.571394400029543,1.410377709072388
1951.0,-77.12,-12.03,1.0000000000000004e-06,0.12368734358429545,0.4102140234362644,0.6252760418060084,1.7560143732234352
1952.0,-77.11,-12.03,1.0000000000000004e-06,0.12324580776816094,0.3975279587805035,0.637924430412584,1.7263470100031895
1953.0,-77.1,-12.03,1.0000000000000004e-06,0.12136846445877768,0.38967182684203006,0.6267686733922474,1.6987498606993385
1954.0,-77.09,-12.03,1.0000000000000004e-06,0.11690332668185516,0.376124260274599,0.606394596233633,1.6972715007566108
1955.0,-77.08,-12.03,1.0000000000000004e-06,0.11748682208993577,0.3870619980718426,0.6002224127331848,1.6910709540812379
1956.0,-77.07,-12.03,1.0000000000000004e-06,0.1140021501140202,0.35759577662067704,0.5796424130949881,1.6208177080404944
1957.0,-77.06,-12.03,1.0000000000000004e-06,0.11106493590422778,0.3549197416460894,0.5720548959076179,1.7458465382210613
1958.0,-77.05,-12.03,1.0000000000000004e-06,0.11136711357584304,0.35099588841038043,0.5616475355758248,1.5103003406203768
1959.0,-76.77,-12.41,1.0000000000000004e-06,0.08715011604878604,0.28371803546562113,0.4552628691641521,1.1924435484494207
1960.0,-76.76,-12.41,1.0000000000000004e-06,0.09621365146933562,0.3116423199467777,0.4786718447448815,1.449937018877899
1961.0,-77.13,-11.96,1.0000000000000004e-06,0.12156691478802142,0.4009119966176153,0.6222650710155819,1.3942209755974493
1962.0,-77.13,-11.97,1.0000000000000004e-06,0.11931066411695906,0.3755713925948751,0.6091568602867142,1.4163704018316423
1963.0,-77.13,-11.98,1.0000000000000004e-06,0.12029083449174875,0.3777375591675974,0.6100019306601815,1.6191169095560167
1964.0,-77.13,-11.99,1.0000000000000004e-06,0.12482103441041593,0.40530523150243464,0.6149207495498175,1.6076533173175531
1965.0,-77.13,-12.0,1.0000000000000004e-06,0.12751039729329883,0.40985266320188374,0.6353344500446935,1.600666797068626
1966.0,-77.13,-12.01,1.0000000000000004e-06,0.1289296522620242,0.4343462347342611,0.6744484805496026,1.837566393415425
1967.0,-77.14,-12.02,1.0000000000000004e-06,0.13186627562003256,0.42301689424974764,0.6665647671619638,1.926562666895378
1968.0,-77.13,-12.02,1.0000000000000004e-06,0.12526420527252036,0.40259419045826217,0.6349097451071979,1.8338643386709848
1969.0,-77.14,-12.03,1.0000000000000004e-06,0.1320770843586093,0.43196570031498155,0.6762804904776009,1.7312512291683495
1970.0,-77.13,-12.03,1.0000000000000004e-06,0.12585777058881792,0.4109121727007517,0.641177971521573,1.5102088996198826
1971.0,-77.14,-12.04,1.0000000000000004e-06,0.13497787678695738,0.4202673886140371,0.6488175900657945,1.706171193550327
1972.0,-77.13,-12.04,1.0000000000000004e-06,0.12827340628657183,0.404219488371289,0.6496766815512807,1.6761917409903813
