site_id,lon,lat,PGV_POE_1.0_yr,PGV_POE_10.0_yr,PGV_POE_50.0_yr,PGV_POE_100.0_yr,PGV_POE_500.0_yr
2221,-76.92,-11.77,1.0000000000000004e-06,1.7403400498122192,7.116525172369625,11.154536963555584,24.224790422355948
2222,-76.91,-11.77,0.009852350125750224,1.862516061036027,7.451627284094479,11.10864611438982,24.461720385891876
2223,-76.9,-11.77,1.0000000000000004e-06,1.8423228105116538,7.389020646308452,11.147299549850143,25.948348758123704
2224,-76.89,-11.77,0.009913647336215857,1.7353364013497994,6.7917404091658975,10.06333860913694,22.740649678506024
2225,-76.88,-11.77,1.0000000000000004e-06,1.7172070759917457,6.778793021912658,10.245907879145157,23.69942480401532
2226,-76.87,-11.77,1.0000000000000004e-06,1.7036707556077932,6.725421580180696,10.384092527703418,22.09515185677246
2227,-76.86,-11.77,0.008711520722090103,1.6955093679709714,6.697106671057474,10.145410140151784,22.940326660457483
2228,-76.85,-11.77,0.009710442503128804,1.7303405524374391,6.821176374325671,10.35342359588696,22.90262199768575
2229,-76.84,-11.77,1.0000000000000004e-06,1.6946986786477611,6.688877242797767,10.346102509541605,22.620520631374863
2230,-76.83,-11.77,1.0000000000000004e-06,1.6889310318592023,6.621863160942016,10.168531946261636,22.020661575578067
2231,-76.82,-11.77,1.0000000000000004e-06,1.6735308167457088,6.637441105909439,10.23293907475711,21.458704873309056
2232,-77.0,-11.78,1.0000000000000004e-06,1.8013457437663563,7.057821261637831,10.787914325561397,25.99167600236146
2233,-76.99,-11.78,1.0000000000000004e-06,1.663709484760767,6.8258492167856835,10.423228679962813,22.711760868368128
2234,-76.98,-11.78,1.0000000000000004e-06,2.2026529333083937,8.748670328757386,13.076387152521306,30.135347653628855
2235,-76.97,-11.78,1.0000000000000004e-06,1.9867926957490991,8.027157119773483,12.307387034982614,28.976763636661474
2236,-76.96,-11.78,1.0000000000000004e-06,1.6974022550840133,6.708192584680209,10.296828801505232,21.331057398047076
2237,-76.95,-11.78,1.0000000000000004e-06,1.689772183564949,6.520682173292433,9.840703822185738,20.9402777208274
2238,-76.94,-11.78,1.0000000000000004e-06,1.7157081298760843,6.932443788279166,10.45066682830903,21.267733399772904
2239,-76.93,-11.78,1.0000000000000004e-06,1.6834843875855547,6.9214426394253845,10.210277743925637,22.300060168446645
2240,-76.92,-11.78,1.0000000000000004e-06,1.7902398132902675,7.265069115855419,10.833277156485964,22.390365542304757
2241,-76.91,-11.78,0.013290352909397465,1.9638535992872466,7.707645596853592,11.708322226944714,25.801086181136487
2242,-76.9,-11.78,1.0000000000000004e-06,1.683391224405218,6.76489449795782,10.294592618596136,21.652373070477882
2243,-76.89,-11.78,1.0000000000000004e-06,1.6930822451033536,6.84828423830403,10.445614024937642,20.820225164170683
2244,-76.88,-11.78,1.0000000000000004e-06,1.9208916414854122,7.668896274091268,11.6873491070064,26.109819084166574
2245,-76.87,-11.78,1.0000000000000004e-06,1.718334343946543,6.669122005802282,10.119598943280458,21.04814690945857
2246,-76.86,-11.78,1.0000000000000004e-06,1.6954711899172978,6.835845884533923,10.350347147165039,22.68768269766645
2247,-76.85,-11.78,1.0000000000000004e-06,1.7127559018615726,6.861727567436819,10.337378219476278,22.37440042757701
2248,-76.84,-11.78,1.0000000000000004e-06,1.73334151168053,6.723634255164665,9.836882306719303,21.736958625913463
2249,-77.0,-11.79,1.0000000000000004e-06,1.6754413429460708,6.729551173644385,9.990277239441225,23.68881003543243
2250,-76.99,-11.79,1.0000000000000004e-06,1.8657581429872245,7.675772804630625,11.751937364771376,26.459760051869015
2251,-76.98,-11.79,1.0000000000000004e-06,2.064699618152909,8.454522570377007,12.922223394273042,28.493497506880985
2252,-76.97,-11.79,0.008670939963938475,1.7435875743108007,7.009631056504665,10.503658682726055,22.841699289938663
2253,-76.96,-11.79,0.012874571973297775,1.9860436203054324,8.262808966806348,12.559626751760616,29.559651804087686
2254,-76.95,-11.79,1.0000000000000004e-06,1.6870652315093027,6.820490819448446,10.539532492429146,23.26702149268683
2255,-76.94,-11.79,1.0000000000000004e-06,1.7327335419251506,6.948248197032296,10.854559583596068,24.459831752758365
2256,-76.93,-11.79,0.008028605416828868,1.722245375142043,6.849872819201544,10.457116601874704,22.588429956378935
2257,-76.92,-11.79,1.0000000000000004e-06,1.705097843671379,7.148564248488499,10.767520596925607,22.17085529709209
2258,-76.91,-11.79,1.0000000000000004e-06,1.7177458368018554,6.834759988014271,10.182071439707293,23.813432695570317
2259,-76.9,-11.79,0.007854101964348548,1.7013503646170651,6.774330286798501,10.287695664158136,23.081908107360356
2260,-76.89,-11.79,1.0000000000000004e-06,1.687942550680394,6.844291515188326,10.229855453116523,21.689092820459063
2261,-76.88,-11.79,0.009599818953598484,1.6810341256871117,6.811130148377502,10.40045176629814,23.59979684615545
2262,-76.87,-11.79,1.0000000000000004e-06,1.6874272942619561,6.816433254322977,10.196514175462058,22.808550406557096
2263,-76.86,-11.79,1.0000000000000004e-06,1.7153125640339095,6.682086573852284,10.261196058643105,21.995829978375273
2264,-76.85,-11.79,0.010754524865254692,2.068833674135215,8.08069583860568,12.463930901794413,27.005528036445035
2265,-77.0,-11.8,1.0000000000000004e-06,1.7768089264040614,7.163986683791436,10.849316508759475,24.394174635872197
2266,-76.99,-11.8,0.010325766210281462,2.1970673470558215,9.180982337694656,14.185970189732766,34.03389229112265
2267,-76.98,-11.8,1.0000000000000004e-06,1.6901331070774204,6.7863805813610325,10.293518704868097,21.287665753749227
2268,-76.97,-11.8,1.0000000000000004e-06,1.6738590412924275,6.769466705519626,9.94862887135961,22.323155755659254
2269,-76.96,-11.8,1.0000000000000004e-06,1.7956979134972564,7.292473382495101,10.845059792295991,22.715579050553384
2270,-76.95,-11.8,0.01206083946041439,1.9694967038707991,7.73503959862576,11.734714735120868,25.699744044865223
2271,-76.94,-11.8,1.0000000000000004e-06,1.6505902487378965,6.6521836783020785,10.024121998118726,21.817728876421103
2272,-76.93,-11.8,1.0000000000000004e-06,1.7086339386642466,6.771506899275151,10.172359916240508,22.679065695818604
2273,-76.92,-11.8,1.0000000000000004e-06,1.6731376630129857,6.926839817604953,10.330188792658127,22.661844801274412
2274,-76.91,-11.8,1.0000000000000004e-06,2.023196536595905,8.288105599500026,12.495727201895903,26.192937537192844
