site_id,lon,lat,PGA_POE_1.0_yr,PGA_POE_10.0_yr,PGA_POE_50.0_yr,PGA_POE_100.0_yr,PGA_POE_500.0_yr
20,-77.01,-12.17,1.0000000000000004e-06,0.03692706200291585,0.173701299489244,0.2913047816361254,0.6950059168149753
21,-77.0,-12.17,1.0000000000000004e-06,0.03685476133907385,0.1707306124871897,0.27203641319606786,0.7224984570037554
22,-76.99,-12.17,1.0000000000000004e-06,0.035616740964662885,0.17051346562697048,0.27688766926200187,0.734133432814748
23,-76.98,-12.17,1.0000000000000004e-06,0.034989249190839594,0.1640963718042742,0.25572636286738987,0.5996178155378125
24,-77.03,-12.18,1.0000000000000004e-06,0.031934946495229016,0.14676931938054874,0.24117403371282176,0.6067353850990538
25,-77.02,-12.18,1.0000000000000004e-06,0.03821205947253324,0.19039666078281944,0.2979366810359983,0.6834147531247072
26,-77.01,-12.18,1.0000000000000004e-06,0.037901441489082005,0.17957121459511505,0.3021465870961251,0.714485011232649
27,-77.0,-12.18,1.0000000000000004e-06,0.036062700310337356,0.17529237496999714,0.2732663690421167,0.7080298871456195
28,-76.99,-12.18,1.0000000000000004e-06,0.03300924908868217,0.157954356431095,0.2642197460963866,0.6881795821635155
29,-76.98,-12.18,1.0000000000000004e-06,0.03588849555505996,0.16682091703382435,0.27875946257837575,0.6512277781338658
30,-77.03,-12.19,1.0000000000000004e-06,0.03653346399543774,0.17491417030693085,0.2851033677222365,0.742521242855061
31,-77.02,-12.19,1.0000000000000004e-06,0.029758431436926882,0.14322427695092751,0.24680305560888363,0.6511937904101464
32,-77.01,-12.19,1.0000000000000004e-06,0.03576527588520133,0.16613236663084055,0.26740574700020525,0.643722139388217
33,-77.0,-12.19,1.0000000000000004e-06,0.033350485177673604,0.16714125518569017,0.2675773471915549,0.633121373914714
34,-76.99,-12.19,1.0000000000000004e-06,0.03292947962577529,0.15625069304038425,0.2531873331173572,0.6308278358374294
35,-76.98,-12.19,1.0000000000000004e-06,0.03612877300083892,0.173209346162544,0.2870185250084033,0.7660310963044681
36,-77.03,-12.2,1.0000000000000004e-06,0.03328846513961095,0.16320801053835923,0.27521498142312983,0.6143381391710981
37,-77.02,-12.2,1.0000000000000004e-06,0.03857464212869845,0.19432778339950135,0.3018292188061074,0.6872372627869929
38,-77.01,-12.2,1.0000000000000004e-06,0.04013707766023094,0.18630836338232581,0.29804161306975047,0.7626008617341694
39,-77.0,-12.2,1.0000000000000004e-06,0.03574133289633818,0.17051351088126362,0.2701867374743613,0.6702301650457912
40,-76.99,-12.2,1.0000000000000004e-06,0.03384508566482543,0.15610147844151212,0.266429726734072,0.6424392348039527
41,-76.98,-12.2,1.0000000000000004e-06,0.03365546297512752,0.16492904553356058,0.2662510784126233,0.6782462871849135
42,-77.02,-12.21,1.0000000000000004e-06,0.038031922227287226,0.17864364080873715,0.28569707975027214,0.7074887380548005
43,-77.01,-12.21,1.0000000000000004e-06,0.038913174661635554,0.1760653643654114,0.2887375773205946,0.6675043196584752
44,-77.0,-12.21,1.0000000000000004e-06,0.0387957442686439,0.18084906057685032,0.29982476944181635,0.7470826380909491
45,-76.99,-12.21,1.0000000000000004e-06,0.0349543593584057,0.16890376124457954,0.2733689985546497,0.6047415257774709
46,-76.98,-12.21,1.0000000000000004e-06,0.034299979954721185,0.16149669967582783,0.24732363180170136,0.6245317030251967
47,-77.0,-12.22,1.0000000000000004e-06,0.03908326644455425,0.1773947550656615,0.2905748597765752,0.703462923567411
48,-76.99,-12.22,1.0000000000000004e-06,0.03915865141535406,0.18016570285548933,0.2831918402744931,0.7771565817576818
49,-76.98,-12.22,1.0000000000000004e-06,0.03778090510505027,0.17670710892490016,0.2864712300897315,0.652530349856159
50,-76.99,-11.99,1.0000000000000004e-06,0.029916821287582697,0.1415564645627881,0.2341639832404983,0.5634803932476116
51,-76.98,-11.99,1.0000000000000004e-06,0.03010265831879919,0.13924556630719506,0.2231416932776779,0.5888518427859623
